Domain Name,Record Name,Record Type,Record Value
petroskyres.com,_83f25150cba987bdb5a0c1e30111f76c.petroskyres.com.,CNAME,_e7d91698bec8e0cd8fadbc5847e0099e.lggsghvbmf.acm-validations.aws.
www.petroskyres.com,_2958e438940e63a3bfe4a96aea45e7f2.www.petroskyres.com.,CNAME,_4a408758db3aa7119219f3f804eca97e.chvvfdvqrj.acm-validations.aws.
